epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.82,1.78667,2.64086,1.42605,0.32924,0.27187,0.27976,0.16869,1.33185,1.4287,1.17783,0.0674832,0.000663609,0.000663609
1,76.3969,1.78667,2.64086,1.42605,0.32924,0.27187,0.27976,0.16869,1.33185,1.4287,1.17783,0.0674832,0.000663609,0.000663609
1,4.45326,2.30237,4.96783,1.77133,0.00085,0.06717,0.00063,0.00036,2.21547,5.24294,1.78423,0.09608,8e-05,8e-05
1,4.76969,3.16346,4.35825,2.53484,0.00063,0.00824,0.00034,9e-05,4.25676,4.77905,2.76475,0.09608,8e-05,8e-05
1,4.85359,3.15867,4.35172,2.53061,0.00036,0.02207,0.00019,4e-05,4.75424,4.61834,3.27687,0.09608,8e-05,8e-05
1,75.8439,1.78648,2.654,1.43726,0.43711,0.28456,0.29576,0.18304,1.28023,1.37954,1.1632,0.0674832,0.000663609,0.000663609
1,75.7695,1.81657,2.21387,1.55875,0.84585,0.27585,0.31882,0.20214,1.30449,1.39984,1.27387,0.0674832,0.000663609,0.000663609
1,75.8373,1.62814,1.81595,1.4234,0.87647,0.30123,0.36257,0.2313,1.24344,1.25955,1.2119,0.0674832,0.000663609,0.000663609
1,75.9387,1.5459,1.66094,1.36018,0.87366,0.32608,0.38416,0.24763,1.21049,1.19512,1.18435,0.0674832,0.000663609,0.000663609
1,76.0353,1.49454,1.56895,1.32296,0.71628,0.34612,0.40028,0.25924,1.18736,1.15049,1.16572,0.0674832,0.000663609,0.000663609
1,76.2115,1.45504,1.50094,1.2956,0.45363,0.36724,0.41416,0.26921,1.17028,1.11623,1.15202,0.0674832,0.000663609,0.000663609
1,76.6509,1.4224,1.44728,1.27362,0.47758,0.39806,0.42658,0.27777,1.15674,1.08676,1.14006,0.0674832,0.000663609,0.000663609
1,76.2974,1.39387,1.40116,1.25441,0.46758,0.41944,0.43888,0.28643,1.145,1.06001,1.12869,0.0674832,0.000663609,0.000663609
1,76.3078,1.36898,1.36167,1.23741,0.47921,0.43484,0.45181,0.29475,1.13519,1.03718,1.11867,0.0674832,0.000663609,0.000663609
1,75.6614,1.3468,1.3264,1.22235,0.49673,0.44855,0.46341,0.30286,1.12579,1.01714,1.11013,0.0674832,0.000663609,0.000663609
1,76.2637,1.32719,1.29542,1.20932,0.52075,0.45472,0.4758,0.31114,1.11662,0.9979,1.10195,0.0674832,0.000663609,0.000663609
1,76.5115,1.31,1.26849,1.19816,0.53797,0.46639,0.48868,0.31874,1.1127,0.98289,1.09629,0.0674832,0.000663609,0.000663609
